cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2014/t4,34774916,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2015/t1,35241711,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2015/t2,34935791,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2015/t3,34884638,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2015/t4,34624616,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2016/t1,35817268,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2016/t2,35625299,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2016/t3,35252892,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2016/t4,35834210,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2017/t1,36367192,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2017/t2,36460074,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2017/t3,36549966,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2017/t4,36764301,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2018/t1,37448463,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2018/t2,36900677,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2018/t3,37096983,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2018/t4,37355033,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2019/t1,37791065,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2019/t2,37274890,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2019/t3,37235860,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2019/t4,37453610,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2020/t1,38136674,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2020/t2,ND,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2020/t3,42767606,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2020/t4,40986680,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2021/t1,41555736,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2021/t2,39994506,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2021/t3,39810925,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2021/t4,39722559,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2022/t1,40795550,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2022/t2,39722558,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2022/t3,39748264,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2022/t4,39370339,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2023/t1,39658166,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2023/t2,39834351,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2023/t3,39605054,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2023/t4,39796775,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2024/t1,40477740,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2024/t2,40218430,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2024/t3,40250534,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2024/t4,40881192,Número de personas
0,Estados Unidos Mexicanos,0,Estados Unidos Mexicanos,6200032077,Población no económicamente activa - 15 años y más,2025/t1,41768424,Número de personas
