"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 21/04/2026 13:49:58",

"Nombre del Indicador Clave: Tasa neta de matriculación en educación preescolar (3 a 5 años de edad)",
"Definición: Porcentaje de la población de tres a cinco años de edad matriculada en la educación preescolar con respecto a la población total de tres a cinco años de edad.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir de 1990.",
"Unidad de medida: Porcentaje",
"Periodicidad: Anual",


"Entidad federativa","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Hidalgo","34.22671","35.50953","30.44297","40.21832","40.38510","42.07967","44.21741","44.83094","46.63930","47.49750","47.21667","46.34177","48.78664","50.52323","58.74332","65.71249","70.36989","70.46803","69.97297","70.64210","70.12290","69.99899","70.86596","70.68346","70.79123","71.46136","73.45409","74.41937","73.90675","71.69135","67.06767","65.11139","67.14425","66.46949","62.40729"
"Jalisco","40.06951","39.86627","40.24324","41.79377","43.06083","43.96318","45.21888","45.48469","46.33157","47.64491","47.78570","49.77509","52.30785","53.45139","56.92232","65.80145","69.54845","70.59121","68.93894","68.53349","68.12043","68.12502","67.77364","67.40349","68.18050","69.13955","70.87878","71.92389","71.36765","71.56213","65.78171","65.12971","66.51100","64.96884","61.75409"
"México","29.59770","30.71066","31.65661","32.42091","33.21760","33.81489","33.73794","33.90752","33.55264","33.78407","34.33736","34.56401","38.30212","40.77417","51.16063","58.21576","59.64388","59.70046","59.94735","60.00891","61.32601","62.10101","62.38081","63.66901","63.55250","64.25240","67.50401","67.74321","67.25682","67.44058","59.60296","56.73413","61.07002","58.06500","53.92090"
"Michoacán de Ocampo","29.37345","31.23259","30.04865","33.11443","34.69853","35.94702","37.95697","41.00746","40.55328","39.88892","41.99713","42.86525","49.17354","51.23057","55.55642","59.53185","61.52415","63.72723","63.84474","64.77674","66.21369","65.59205","67.23594","69.25452","70.77204","72.09101","74.66642","76.75240","77.26237","74.48935","70.76188","68.25365","69.18201","68.36847","62.50647"
"Morelos","44.67243","43.06938","42.40628","42.38201","41.19564","40.40632","40.06283","42.64694","42.44696","43.78023","44.76064","45.14151","47.31738","49.07219","54.36974","57.99313","63.10141","60.94519","62.69698","64.46767","65.68527","66.45790","66.30654","66.58879","66.98317","67.81576","69.76508","70.12969","69.43780","70.59395","61.55046","60.01010","65.69841","64.17739","61.02771"
"Nayarit","42.32153","42.90079","42.67679","43.75296","46.06340","45.45844","45.78779","46.15529","49.16119","52.98555","53.90839","52.22248","54.33187","56.23901","60.04371","62.62040","67.82032","65.50311","67.32347","67.15513","66.94237","67.77663","68.17029","67.07188","66.03979","65.95234","70.32300","71.32060","69.39060","70.55113","68.17051","66.94768","70.83307","69.47612","65.97198"
"Nuevo León","42.65106","42.62865","43.72655","44.77479","44.74539","44.07688","43.59334","43.50808","44.40334","47.53706","50.91748","50.68238","54.35014","55.63908","57.07956","71.94302","79.12791","76.88770","73.71620","71.94567","71.88560","71.47192","71.78395","71.53687","71.36261","71.26430","71.91449","70.85117","70.79112","71.50815","65.54526","61.89555","66.33668","64.96834","61.02666"
"Oaxaca","37.75806","31.27216","39.34679","41.21744","43.03956","42.64284","45.48403","46.98246","47.53598","48.98165","50.98279","52.24688","54.34215","57.38076","62.71146","66.58248","67.20402","68.00147","68.79150","70.15682","72.64730","75.42661","77.52644","76.36723","79.68893","82.39329","83.90424","81.90171","66.80607","67.99135","66.75843","67.60502","69.73733","80.04004","69.52907"
"Puebla","39.88207","38.43523","32.25745","32.92548","45.45919","46.04684","47.29865","48.65266","49.13746","46.94073","48.13108","48.95255","52.60607","56.39973","61.46640","67.66842","72.39241","76.12941","73.13343","70.46437","69.74442","70.79985","71.52681","71.93349","75.25950","76.94191","81.32852","81.51589","80.78240","78.94358","71.75896","70.10889","73.93196","71.41762","66.62133"
"Querétaro","39.97695","41.51431","42.11186","43.73841","43.44669","47.14405","47.84216","50.01713","51.58905","53.30914","54.46686","54.13660","55.57192","56.52632","59.98587","67.72634","74.48153","72.62283","71.61092","71.12374","71.21438","71.90071","72.52989","72.19121","70.79444","72.25398","73.81639","74.63722","73.37468","74.16277","66.26832","64.99139","67.02242","65.12408","61.73308"
"Quintana Roo","41.64796","42.77357","43.09945","43.89055","47.47581","46.07930","45.86693","45.50532","46.84862","49.43860","49.64069","48.69879","51.86740","50.58238","52.30694","57.81709","62.56886","64.20014","62.06041","61.35898","60.13980","59.78659","60.29772","60.28164","61.27878","60.97779","62.79085","63.01403","63.20742","62.64017","53.91568","49.82266","55.31930","53.13259","49.99220"
"San Luis Potosí","50.74211","52.19161","46.39451","47.27787","48.65584","53.09923","53.37802","53.81303","55.08262","55.16624","54.79332","54.79124","58.12987","58.98087","65.79630","71.12252","81.96276","85.85541","78.39284","77.94467","77.79050","78.86685","79.96462","79.89141","79.52570","79.51627","83.17732","83.15074","83.18091","83.27970","78.90559","75.45979","77.61351","76.93657","73.69618"
"Sinaloa","44.21831","43.71046","43.32586","43.99262","43.81695","42.43268","45.84043","48.97536","48.58221","50.30143","51.40318","50.10694","52.92354","51.92231","53.59487","57.65891","67.28557","71.01512","67.01783","68.26922","68.94350","68.13792","68.42348","67.19955","66.25431","66.20966","67.55340","69.08485","69.61809","72.29475","71.02963","72.60116","75.42259","74.59708","71.69769"
"Sonora","39.81460","40.45118","38.99478","40.19939","38.14419","40.10262","42.12221","42.80078","43.55203","45.28325","45.95624","46.15262","49.27549","49.78562","50.97931","56.76737","61.61179","58.83936","58.04873","58.69478","59.68435","60.73560","61.66979","61.05537","60.29619","57.63207","62.98054","63.89755","63.72055","65.46965","59.68960","57.90088","61.93038","62.21956","60.74495"
"Tabasco","49.87036","54.81040","53.91653","52.30693","55.48619","56.83987","58.06312","58.87131","60.48035","61.75571","63.96213","66.16906","68.77330","71.35624","76.59680","77.70754","76.05559","79.66356","78.87307","80.13523","78.94859","79.60178","81.49653","84.15036","84.93361","84.76160","88.04391","87.29596","88.69717","88.36331","85.31537","83.20750","85.02253","84.72560","82.30847"
"Tamaulipas","38.85328","39.31198","39.03232","39.04272","40.34225","41.34590","41.49395","38.88440","42.69209","43.51453","44.19790","42.77864","45.72938","46.24872","51.47378","56.73886","60.80243","59.37641","60.52817","60.03807","59.74197","60.53526","60.52442","61.53195","62.29228","61.95417","63.28488","64.04177","64.18719","63.81575","57.73764","53.65807","59.74827","61.26699","58.72182"
"Tlaxcala","43.97297","44.51773","41.57035","41.19397","41.92569","41.33426","40.98661","41.46166","43.08215","46.33842","48.02515","47.56492","51.54222","49.33007","55.10028","55.71044","67.31193","66.58331","68.46203","67.79883","67.10621","67.16639","67.45105","67.71358","66.93615","67.23160","70.40692","71.43437","75.32746","71.33590","67.42723","66.65373","67.39418","65.13292","61.69701"
"Veracruz de Ignacio de la Llave","35.92064","39.85699","32.74595","40.07149","41.33687","42.86752","42.77881","43.96077","43.62414","43.42065","43.82815","44.45627","47.28938","45.54340","55.01794","59.70926","60.97580","58.03725","58.35210","58.93175","59.55072","59.47113","60.63898","60.95091","61.05335","61.77792","65.84650","64.90895","64.76020","64.69009","59.12476","56.48070","60.68001","60.45724","58.21017"
"Yucatán","40.91810","42.03168","37.56473","44.52475","46.09453","46.80964","47.95594","50.70559","51.57051","52.05985","53.79936","56.02907","57.82893","62.21084","67.45389","70.64320","73.64345","76.73074","77.76564","75.22149","74.94405","75.09465","75.45537","75.30136","74.72364","74.61301","76.11327","77.40803","76.79521","77.34429","71.01745","70.51122","87.56381","71.05463","69.44736"
"Zacatecas","37.38937","37.20823","43.57431","45.09181","46.06481","47.58977","49.75038","48.78815","52.02507","54.72050","55.53454","54.20351","58.26725","60.19736","64.71243","66.13445","73.90012","70.22961","67.52736","69.07324","72.06476","73.16976","73.47033","74.05248","75.53502","76.21567","77.23820","77.91276","78.02357","78.07057","77.55923","74.55081","75.17042","73.43050","69.09201"

"Responsable: SEP.  Dirección General de Planeación, Programación y Estadística Educativa.",
"Fuente: CONAPO.   Conciliación Demográfica 1950 a 2019 y Proyecciones de la Población de México 2020 a 2070.  SEP.   Sistema de Estadísticas Continuas de Educación del Formato 911.  ",
