"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 21/04/2026 23:42:06",

"Nombre del Indicador Clave: Tasa de absorción en educación media superior",
"Definición: Es el porcentaje de alumnos de nuevo ingreso a primer grado de un nivel educativo respecto a los alumnos egresados del nivel educativo precedente en el ciclo inmediato anterior.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir del año 2000.",
"Unidad de medida: Porcentaje de alumnos",
"Periodicidad: Anual",


"Entidad federativa","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Nayarit","85.22677","90.90965","89.46489","91.48150","94.31751","97.18414","101.77202","97.84586","94.93302","101.15593","94.22531","87.84527","97.28704","103.72314","104.78996","117.60261","109.10189","116.27115","115.87915","114.60674","104.79305","101.88862","110.01290","121.18338","111.17860"
"Nuevo León","96.60484","105.14752","96.75887","108.80278","108.59812","104.84803","108.38547","103.58407","110.46583","111.42111","108.56812","105.57005","110.00186","110.62180","112.02492","109.62031","103.65338","101.18759","105.19534","99.34825","86.61079","85.39104","97.54234","100.99717","96.87626"
"Oaxaca","84.41205","86.90853","91.09881","97.23907","92.45290","83.67556","83.67556","84.24902","87.85448","81.12159","80.00500","84.87341","85.45313","92.52768","93.52366","78.91668","89.15456","93.79079","86.79102","86.40612","77.28187","79.27609","92.52451","90.02256","89.37464"
"Puebla","82.20442","90.09910","88.71745","91.73466","90.70528","92.05798","95.18591","92.46800","94.74611","94.46256","99.00823","101.61092","106.80188","104.94912","103.23411","102.47474","103.02147","99.49616","101.06494","100.76664","89.25081","93.26354","102.02754","102.81444","100.49033"
"Querétaro","93.44397","101.52419","91.17001","94.25317","92.44055","92.31378","91.84072","92.49748","88.91976","88.97123","93.21404","97.18522","100.95531","107.30073","110.90781","105.97932","104.15423","102.16069","104.53055","102.58011","93.34864","89.35738","100.38148","102.56305","101.06510"
"Quintana Roo","106.97851","105.38474","103.96378","106.57613","106.61918","110.04083","103.69783","102.36810","102.37216","96.67872","95.04796","99.08316","98.87085","109.07612","111.48621","109.61483","104.22708","102.19995","102.15408","103.85373","92.73330","90.48637","104.96194","103.79390","104.22062"
"San Luis Potosí","72.35889","79.38975","80.80546","83.58789","82.82705","84.21537","84.40887","85.02364","86.42230","85.45304","87.99441","91.93594","94.80891","98.02642","98.44304","95.67156","93.70208","90.35856","94.53544","90.55195","82.85254","84.15586","92.85417","92.92081","91.55522"
"Sinaloa","120.24170","113.69321","112.18004","115.35349","116.32569","111.56741","107.91343","106.36719","110.10038","107.73306","103.20273","108.77565","106.56094","114.99780","116.16649","113.01530","114.30797","112.09156","115.94424","114.59030","104.81384","101.54659","110.17325","111.33995","109.78147"
"Sonora","111.49173","110.38537","110.71859","108.92166","111.34369","114.63965","106.54697","101.62432","97.36992","95.50118","99.86510","103.81301","97.58191","98.78407","100.62510","101.35269","105.00964","103.98219","100.41756","100.00221","89.90756","88.11661","94.87966","100.44333","99.74458"
"Tabasco","103.06930","100.02402","98.08329","97.96868","99.70805","102.37966","103.97262","101.75081","103.86728","101.35798","102.45311","101.12788","102.68367","106.49738","107.88974","109.34456","104.79743","103.37509","106.72210","103.38054","94.60178","94.85935","102.57423","100.11957","97.63805"
"Tamaulipas","96.09101","102.43250","106.52414","108.98582","104.68159","99.47281","98.17256","109.25688","92.37227","93.42859","96.54332","102.26344","109.99186","104.58358","100.98189","111.38963","108.91857","115.32548","112.12181","110.16178","93.72183","90.89097","102.24135","104.80327","104.02459"
"Tlaxcala","89.27600","90.33363","89.42325","106.16569","98.11882","89.11089","85.15070","88.87038","88.86616","91.18205","94.02319","95.93235","96.57295","99.55625","98.14337","98.60536","96.38182","96.18311","95.21357","91.39413","86.93349","88.40471","96.01153","98.73910","96.43581"
"Veracruz de Ignacio de la Llave","89.53512","95.57656","98.43975","98.08497","96.41262","95.16457","94.84064","94.53757","94.29683","92.11094","90.50742","90.38261","88.88009","102.08405","99.18141","102.94600","99.70649","98.90215","105.06722","98.53649","84.02558","86.86802","95.16302","111.21127","109.61239"
"Yucatán","100.15159","103.25187","103.70927","104.51441","104.50343","99.66796","99.82283","101.35140","104.22649","102.45844","103.15854","96.71930","98.34329","123.04727","117.15962","113.63883","112.70319","108.65017","111.30023","107.79538","97.74633","96.39922","109.11894","109.87499","106.60086"
"Zacatecas","71.36417","78.80119","76.90076","80.50771","80.77756","80.51240","79.63735","91.75942","86.00951","88.18864","89.03028","92.82653","89.36307","101.95706","101.25683","104.58282","97.11519","97.75357","100.97008","98.43492","89.16409","85.64018","94.23178","95.32590","93.29802"

"Nota: Cifras revisadas a partir de: 2015  El indicador es sensible a la migración de la población, es decir, puede alcanzar cifras mayores a 100% si se inscriben como nuevo ingreso alumnos provenientes de entidades federativas vecinas.",
"Responsable: SEP.  Dirección General de Planeación, Programación y Estadística Educativa.",
"Fuente: SEP.   Sistema de Estadísticas Continuas de Educación del Formato 911.  ",
