"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 21/04/2026 13:58:40",

"Nombre del Indicador Clave: Tasa de absorción de los egresados de primaria",
"Definición: Es el porcentaje de alumnos de nuevo ingreso a primer grado de secundaria respecto a los alumnos egresados de primaria  del ciclo inmediato anterior.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir de 1990.",
"Unidad de medida: Porcentaje",
"Periodicidad: Anual",


"Entidad federativa","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Nacional","82.30000","82.89685","83.81089","85.78257","87.69943","86.99120","86.68746","87.79269","90.04264","90.98677","91.83373","93.36028","94.10606","94.65935","94.98110","94.94525","95.37942","95.20429","95.46377","95.71464","96.48376","97.03654","96.93274","97.03636","97.35570","97.19524","97.07893","97.63597","96.87353","96.90955","94.53218","93.10582","96.23429","95.77007","95.78057"
"Aguascalientes","76.81519","78.49077","81.24384","88.74522","91.02028","92.01932","90.66461","92.39544","92.96920","92.50285","93.44583","94.73880","97.14873","96.48685","97.58632","96.85953","97.55148","97.88007","97.12295","98.07580","98.69731","99.25186","99.16954","99.41456","99.40601","98.54467","98.78650","98.95635","98.64324","99.36446","98.47231","97.32490","98.71066","99.88241","99.94296"
"Baja California","92.80529","92.74359","93.38295","94.54495","95.00343","95.71977","95.59363","96.30946","95.08587","95.80418","95.92580","95.63235","96.63000","97.40260","97.22647","97.07638","97.28887","96.42376","97.92986","98.00300","98.46224","99.37832","99.53247","98.20207","99.92740","99.84362","100.37988","99.13871","99.44272","99.07748","95.47739","93.88305","98.99211","97.83525","97.23864"
"Baja California Sur","94.90969","96.03075","95.26947","95.34588","98.68455","97.36171","96.98303","96.68335","97.26868","97.60832","98.38382","99.02870","99.23171","99.31587","99.71510","99.62200","99.53012","100.37116","99.30276","98.51011","98.49034","100.86016","99.64096","99.10990","100.07551","99.39343","99.77212","101.08286","99.49977","100.92054","99.73074","98.84873","100.39694","101.40727","100.32337"
"Campeche","82.70824","83.87067","86.07761","93.14716","92.94374","88.65843","88.23022","88.29567","94.74068","93.53164","94.24906","94.82680","95.48799","96.90660","97.02087","96.38869","96.72984","95.78539","96.42112","95.79536","97.38042","97.52488","97.40714","97.39834","98.69377","97.98772","97.68502","98.75387","99.47358","97.77410","98.53698","93.15143","97.82622","96.87443","97.89237"
"Coahuila de Zaragoza","85.29199","85.12620","87.96513","89.35506","92.06533","91.06773","92.28449","94.32227","90.89613","93.08412","95.14222","96.49003","98.25980","98.45166","98.01065","97.52495","98.23455","98.16954","98.05806","98.69813","98.42208","97.77974","97.23546","96.30217","96.24794","97.63990","97.06574","97.29024","96.51305","97.22142","95.10189","94.04290","95.97191","96.99493","96.57109"
"Colima","86.46398","88.75866","90.35996","91.32384","95.67018","94.82841","93.07434","95.25879","97.51381","97.12170","97.46437","98.20909","99.96417","100.15812","95.17161","96.23239","97.38817","96.87108","97.45405","97.76958","98.03427","98.56404","98.67849","99.91969","100.69859","99.07061","98.77249","101.99065","98.17243","102.22563","97.69615","94.38464","100.08400","98.18123","98.68475"
"Chiapas","74.45537","75.88173","76.77080","77.44629","78.28805","79.46587","76.67609","76.30750","75.97211","82.52364","82.76728","88.57197","87.67199","89.94034","89.17098","88.03903","89.13902","88.92214","88.26597","87.78379","89.20628","90.33303","89.95513","89.70802","91.03444","89.24439","88.45851","90.52753","88.62510","86.84732","81.37640","78.93507","82.56528","82.46152","82.75775"
"Chihuahua","75.43076","77.93226","80.77742","83.37591","84.20028","85.41806","85.53290","86.05354","87.19677","87.24797","88.08109","88.64200","90.09471","90.38729","91.06385","91.93527","91.99109","92.50635","92.20793","92.10862","92.12794","93.47004","93.55142","94.24272","94.61520","94.41508","94.56730","93.22994","94.22692","94.48148","93.20589","93.17957","94.65455","94.62791","95.02556"
"Ciudad de México","106.95768","105.63046","105.40202","105.62599","105.87771","104.66605","103.52382","103.47454","103.53363","103.38776","104.26858","104.93749","104.34960","104.28289","105.16254","105.42561","105.24176","100.34111","103.85105","104.80785","105.92948","105.87220","105.45945","106.13019","105.90419","105.35314","104.21874","105.67624","104.96238","107.27076","108.03404","103.94558","108.33658","106.00051","104.52265"
