"Sistema Nacional de Información Estadística y Geográfica",
"Catálogo Nacional de Indicadores",
"Fecha de consulta: 21/04/2026 13:48:46",

"Nombre del Indicador Clave: Tasa neta de matriculación en secundaria (12 a 14 años de edad)",
"Definición: Porcentaje de la población de 12 a 14 años de edad matriculada en la educación secundaria con respecto a la población total de 12 a 14 años de edad.",
"Cobertura geográfica: Nacional y Estatal.",
"Cobertura temporal: A partir de 1990.",
"Unidad de medida: Porcentaje",
"Periodicidad: Anual",


"Entidad federativa","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Hidalgo","50.75952","51.40623","52.77694","55.50516","58.47726","61.41380","63.32223","64.64512","67.34581","69.60880","71.92873","74.36408","75.33449","77.14483","79.32293","80.61114","82.09580","82.81445","82.41199","80.32289","78.58660","78.62354","80.85347","83.20407","85.40821","86.72579","87.60934","87.65336","87.19283","86.42329","86.03909","84.37944","83.66760","84.87366","85.36515"
"Jalisco","47.08300","47.46225","49.20508","51.85756","54.04165","56.09991","57.65120","59.45658","61.59773","63.19098","65.05569","66.08300","68.21070","69.18539","70.37754","71.19353","72.09816","73.07264","73.90563","74.61765","75.97953","77.62290","79.98416","83.14188","85.64975","83.52395","82.55405","80.41356","80.48963","80.23070","80.54483","82.36085","81.39260","82.19215","83.93587"
"México","55.13653","54.57095","56.37197","58.29110","60.97628","62.79281","63.90132","64.39745","64.66836","65.21664","67.31386","69.09417","71.64932","73.67984","75.89569","76.69171","77.57284","77.64157","77.49757","76.84389","77.18046","78.48943","80.58526","82.85161","84.91484","85.75084","86.35237","86.38196","86.78806","86.23124","85.44877","84.51647","84.07786","84.24492","85.17006"
"Michoacán de Ocampo","38.14234","39.36889","34.51554","41.74930","43.30742","45.51381","46.58241","49.32827","49.40903","53.76153","57.52338","60.35557","63.41037","64.21161","65.31202","66.42618","68.37134","68.68263","69.35411","69.05751","70.45837","71.23124","71.47378","73.77660","75.00701","75.01915","75.84441","76.32037","76.36240","74.08717","73.73358","70.88235","72.19827","74.17160","75.78844"
"Morelos","63.15150","61.98361","63.39419","63.96532","65.28725","66.87463","67.65652","68.49224","69.76212","70.96005","72.69109","73.04175","76.04841","77.16372","78.34653","78.33022","81.58556","83.23635","81.61022","81.80880","81.66342","81.68653","84.12203","86.65390","87.94193","87.49164","84.18004","84.52297","84.77914","84.32976","84.11953","81.11801","80.28534","81.73913","83.09914"
"Nayarit","56.86938","57.85509","59.16506","58.70174","61.69161","61.69224","64.12769","65.91961","68.57916","69.67756","70.96386","72.26880","73.86070","73.92649","73.14255","73.97348","75.31325","78.84993","81.24543","81.05649","80.39266","81.32784","83.44929","84.41130","84.66362","85.10717","80.67483","80.20861","79.68069","79.99190","80.59169","80.10561","79.00578","80.27133","80.48668"
"Nuevo León","66.70620","67.34821","68.62380","69.14098","70.58620","72.57274","72.64407","71.51631","71.11958","71.86606","72.92444","73.66118","76.74515","78.14914","79.39672","79.79306","81.48864","81.75104","81.52094","83.58318","85.75101","87.26304","89.84349","90.75197","91.97361","90.40189","87.08434","82.18319","81.93651","82.13887","83.48954","83.32809","81.40194","82.09725","82.10750"
"Oaxaca","33.78600","34.29266","35.44742","37.35404","40.43536","42.72323","44.91551","47.29993","50.29484","52.98829","55.53915","57.63514","59.61743","61.21567","64.27843","66.77416","67.18953","69.75761","70.11395","70.32306","70.26771","69.71497","72.15961","72.46801","75.91654","77.02437","78.18807","77.72735","81.20805","79.51684","79.53725","75.92692","70.00458","78.74291","80.54021"
"Puebla","44.54522","45.08476","45.60756","46.92690","48.51187","50.60481","51.72145","53.39284","55.32295","57.71922","59.97449","61.81510","64.15678","66.51866","68.68446","69.58675","71.18537","72.86144","73.95233","74.04776","75.28724","76.37901","79.15785","82.18317","85.40647","87.16889","88.38935","86.00902","82.71693","81.13922","79.58934","78.34850","78.13571","80.42292","81.92037"
"Querétaro","47.99488","49.16933","50.46811","53.52082","56.11255","58.09146","59.02260","60.30581","63.08622","65.49667","67.07621","68.43620","70.31257","71.89389","74.06264","74.19577","76.42420","79.57073","80.23027","80.31079","80.26831","80.82295","82.18100","85.79473","87.59671","88.62544","85.08562","83.90768","83.45557","84.79989","85.52764","86.49814","83.56630","84.42031","85.48614"
